hour,EFS2020,EFS2030,EFS2040,EFS2050
547,43152.199,47586.461,52391.91,57822.523
548,43615.539,48097.645,52954.02,58441.613
549,43120.852,47552.473,52353.387,57777.66
550,41690.914,45975.469,50615.68,55857.52
551,39000.715,43007.145,47343.828,52242.613
552,36305.492,40033.422,44066.906,48623.223
553,34606.262,38158.551,42000.582,46340.719
554,33865.031,37340.613,41099,45344.898
555,33628.715,37079.672,40810.906,45026.066
556,33883.582,37360.426,41119.785,45366.801
557,34956.047,38543.063,42422.324,46805.102
558,38065.707,41973.73,46202.98,50980.926
559,42945.352,47357.699,52135.84,57533.059
560,44485.352,49056.66,54005.914,59595.402
561,43198.367,47637.023,52442.27,57869.777
562,42623.047,47003.223,51745.504,57101.867
563,42254.051,46597.402,51299.645,56609.523
564,41885.387,46191.449,50854.383,56120.449
565,41498.668,45765.383,50386.012,55604.023
566,41095.102,45320.613,49896.934,55064.973
567,40870.488,45072.895,49624.496,54764.695
568,41021.91,45240.09,49809.023,54968.527
569,41688.863,45975.66,50619.625,55863.914
570,43229.613,47674.926,52492.699,57934.441
571,44960.895,49583.859,54594.938,60256.496
572,44758.23,49359.742,54346.57,59980.59
573,43778.578,48278.629,53154.703,58663.98
574,41893.586,46198.863,50862.055,56130.816
575,38926.387,42924.996,47253.785,52144.496
576,35869.117,39551.984,43536.719,48038.801
577,33920.43,37401.547,41166.297,45420.273
578,32991.82,36376.629,40036.156,44171.578
579,32510.002,35844.645,39449.438,43523.348
580,32596.717,35940.258,39554.609,43639.309
581,33434.938,36864.715,40572.914,44763.652
582,36143.02,39852.469,43865.387,48400.195
583,40795.918,44986.859,49523.48,54648.773
584,42891.926,47300.219,52071.344,57459.266
585,42591.504,46969.23,51706.941,57056.781
586,43058.094,47484.773,52275.734,57684.652
587,43672.992,48163.773,53024.766,58512.094
588,43702.434,48196.402,53061.215,58552.895
589,43409.305,47872.953,52704.859,58159.223
590,43024.891,47448.504,52237.863,57645.055
591,42815.379,47217.855,51985.184,57367.371
592,42900.477,47312.34,52090.559,57484.73
593,43454.352,47923.43,52764.168,58228.715
594,44594.273,49180.82,54150.469,59761.512
595,46526.188,51311.992,56497.695,62352.414
596,46265.527,51023.703,56178.898,62000.219
597,45339.75,50002.039,55052.262,60755.301
598,43371.586,47830.504,52658.785,58111.148
599,40381.777,44531.805,49023.242,54095.039
600,37254.266,41080.52,45219.367,49893.688
601,35319.063,38945.105,42865.699,47293.797
602,34368.34,37896.215,41709.754,46016.977
603,34032.035,37525.332,41300.828,45564.629
604,34248.027,37764.105,41564.457,45855.906
605,35400.602,39036.184,42966.832,47404.977
606,38479.477,42433.805,46712.031,51542.027
607,43748.578,48248.906,53121.504,58620.984
608,45469.023,50147.246,55211.844,60926.801
609,44311.98,48870.336,53805.227,59374.82
610,43581.449,48063.574,52916.117,58393.633
611,42881.582,47290.582,52064.215,57453.879
612,41993.906,46310.977,50985.602,56264.156
613,41026.324,45243.176,49809.113,54965.719
614,40411.023,44564.125,49061.492,54141.277
615,39775.051,43862.309,48288.473,53288.285
616,39372.578,43418.066,47799.254,52748.719
617,39294.836,43331.434,47703.145,52642.625
618,40022.313,44133.117,48586.25,53618.859
619,43029.094,47450.73,52242.133,57656.445
620,43793.828,48294.57,53171.117,58681.012
621,43659.418,48146.734,53008.148,58500.359
622,42464.746,46828.977,51555.676,56895.117
623,40024.547,44137.168,48589.656,53618.961
624,37450.402,41297.121,45459.965,50161.867
625,35947.422,39638.926,43632.406,48142.594
626,35564.855,39217,43167.563,47629.141
627,35704.297,39370.926,43337.293,47816.371
628,36285.102,40012.004,44044.031,48596.902
